timestamp,window,sample,ir_raw,red_raw,true_hr
2026-04-18T19:46:17.227,1,146,161600,130072,83.0
2026-04-18T19:46:17.267,1,147,161600,130072,83.0
2026-04-18T19:46:17.307,1,148,162061,130937,83.0
2026-04-18T19:46:17.347,1,149,162061,130937,83.0
2026-04-18T19:46:17.387,1,150,162061,130937,83.0
2026-04-18T19:46:17.428,1,151,162061,130937,83.0
2026-04-18T19:46:17.467,1,152,161628,130436,83.0
2026-04-18T19:46:17.507,1,153,161628,130436,83.0
2026-04-18T19:46:17.547,1,154,161628,130436,83.0
2026-04-18T19:46:17.587,1,155,161628,130436,83.0
2026-04-18T19:46:17.627,1,156,161582,130395,83.0
2026-04-18T19:46:17.667,1,157,161582,130395,83.0
2026-04-18T19:46:17.707,1,158,161582,130395,83.0
2026-04-18T19:46:17.747,1,159,161582,130395,83.0
2026-04-18T19:46:17.787,1,160,162470,131836,83.0
2026-04-18T19:46:17.827,1,161,162470,131836,83.0
2026-04-18T19:46:17.866,1,162,162470,131836,83.0
2026-04-18T19:46:17.907,1,163,162470,131836,83.0
2026-04-18T19:46:17.947,1,164,163672,134113,83.0
2026-04-18T19:46:17.987,1,165,163672,134113,83.0
2026-04-18T19:46:18.027,1,166,163672,134113,83.0
2026-04-18T19:46:18.066,1,167,163672,134113,83.0
2026-04-18T19:46:18.106,1,168,160659,129285,83.0
2026-04-18T19:46:18.146,1,169,160659,129285,83.0
2026-04-18T19:46:18.187,1,170,160659,129285,83.0
2026-04-18T19:46:18.226,1,171,160659,129285,83.0
2026-04-18T19:46:18.266,1,172,160144,128495,83.0
2026-04-18T19:46:18.306,1,173,160144,128495,83.0
2026-04-18T19:46:18.346,1,174,160144,128495,83.0
2026-04-18T19:46:18.386,1,175,160144,128495,83.0
2026-04-18T19:46:18.426,1,176,159607,127735,83.0
2026-04-18T19:46:18.466,1,177,159607,127735,83.0
2026-04-18T19:46:18.506,1,178,159607,127735,83.0
2026-04-18T19:46:18.546,1,179,159607,127735,83.0
2026-04-18T19:46:18.586,1,180,159193,127019,83.0
2026-04-18T19:46:18.626,1,181,159193,127019,83.0
2026-04-18T19:46:18.665,1,182,159193,127019,83.0
2026-04-18T19:46:18.706,1,183,159193,127019,83.0
2026-04-18T19:46:18.746,1,184,159541,127429,83.0
2026-04-18T19:46:18.785,1,185,159541,127429,83.0
2026-04-18T19:46:18.825,1,186,159541,127429,83.0
2026-04-18T19:46:18.865,1,187,159541,127429,83.0
2026-04-18T19:46:18.905,1,188,159776,127801,83.0
2026-04-18T19:46:18.945,1,189,159776,127801,83.0
2026-04-18T19:46:18.985,1,190,159776,127801,83.0
2026-04-18T19:46:19.025,1,191,159776,127801,83.0
2026-04-18T19:46:19.065,1,192,160149,128355,83.0
2026-04-18T19:46:19.105,1,193,160149,128355,83.0
2026-04-18T19:46:19.145,1,194,160149,128355,83.0
2026-04-18T19:46:19.185,1,195,160149,128355,83.0
2026-04-18T19:46:19.225,1,196,161736,130251,83.0
2026-04-18T19:46:19.265,1,197,161736,130251,83.0
2026-04-18T19:46:19.305,1,198,161736,130251,83.0
2026-04-18T19:46:19.345,1,199,161736,130251,83.0
2026-04-18T19:46:19.385,1,200,162063,131382,83.0
2026-04-18T19:46:19.425,1,201,162063,131382,83.0
2026-04-18T19:46:19.465,1,202,162063,131382,83.0
2026-04-18T19:46:19.505,1,203,162063,131382,83.0
2026-04-18T19:46:19.545,1,204,162342,131935,83.0
2026-04-18T19:46:19.585,1,205,162342,131935,83.0
2026-04-18T19:46:19.624,1,206,162342,131935,83.0
2026-04-18T19:46:19.665,1,207,162342,131935,83.0
